ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
8.7.0,true,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.
8.7.0,true,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.
8.7.0,true,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.
8.7.0,true,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.
8.7.0,true,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.
8.7.0,true,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.
8.7.0,true,agent,agent.hostname,keyword,extended,,,Agent's hostname.
8.7.0,true,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.
8.7.0,true,agent,agent.name,keyword,core,,foo,Custom name of the agent.
8.7.0,true,agent,agent.type,keyword,core,,filebeat,Type of the agent.
8.7.0,true,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.
8.7.0,true,arcsight,arcsight.category.behavior,keyword,extended,,,Behavior category
8.7.0,true,arcsight,arcsight.category.device.group,keyword,extended,,,Event's device group
8.7.0,true,arcsight,arcsight.category.device.type,keyword,extended,,,Event's device type
8.7.0,true,arcsight,arcsight.category.object,keyword,extended,,,Event's object category
8.7.0,true,arcsight,arcsight.category.outcome,keyword,extended,,,Event's outcome
8.7.0,true,arcsight,arcsight.category.significance,keyword,extended,,,Event's significance
8.7.0,true,arcsight,arcsight.category.technique,keyword,extended,,,Event's technique
8.7.0,true,arcsight,arcsight.classid,keyword,extended,,,Event's Classification ID
8.7.0,true,auditd,auditd.log.a0,keyword,extended,,,The first argument to the system call
8.7.0,true,auditd,auditd.log.addr,ip,extended,,,ip
8.7.0,true,auditd,auditd.log.audit_failure,keyword,extended,,,audit_failure
8.7.0,true,auditd,auditd.log.cipher,keyword,extended,,,cipher
8.7.0,true,auditd,auditd.log.data,keyword,extended,,,data
8.7.0,true,auditd,auditd.log.default-context,keyword,extended,,,default-context
8.7.0,true,auditd,auditd.log.dev,keyword,extended,,,dev
8.7.0,true,auditd,auditd.log.direction,keyword,extended,,,direction
8.7.0,true,auditd,auditd.log.dst_prefixlen,long,extended,,,dst_prefixlen
8.7.0,true,auditd,auditd.log.entries,long,extended,,,entries
8.7.0,true,auditd,auditd.log.family,keyword,extended,,,family
8.7.0,true,auditd,auditd.log.fe,keyword,extended,,,fe
8.7.0,true,auditd,auditd.log.fi,keyword,extended,,,fi
8.7.0,true,auditd,auditd.log.format,keyword,extended,,,format
8.7.0,true,auditd,auditd.log.fp,keyword,extended,,,fp
8.7.0,true,auditd,auditd.log.fver,keyword,extended,,,fver
8.7.0,true,auditd,auditd.log.gpg_res,keyword,extended,,,gpg_res
8.7.0,true,auditd,auditd.log.hostname,keyword,extended,,,hostname
8.7.0,true,auditd,auditd.log.id,keyword,extended,,,id
8.7.0,true,auditd,auditd.log.img-ctx,keyword,extended,,,img-ctx
8.7.0,true,auditd,auditd.log.inode,keyword,extended,,,inode
8.7.0,true,auditd,auditd.log.ip,keyword,extended,,,instruction pointer
8.7.0,true,auditd,auditd.log.item,keyword,extended,,,index of item
8.7.0,true,auditd,auditd.log.items,keyword,extended,,,The number of items in an event.
8.7.0,true,auditd,auditd.log.kernel,keyword,extended,,,kernel
8.7.0,true,auditd,auditd.log.key_enforce,boolean,extended,,,key_enforce
8.7.0,true,auditd,auditd.log.kind,keyword,extended,,,kind
8.7.0,true,auditd,auditd.log.ksize,long,extended,,,ksize
8.7.0,true,auditd,auditd.log.laddr,ip,extended,,,laddr
8.7.0,true,auditd,auditd.log.list,keyword,extended,,,list
8.7.0,true,auditd,auditd.log.lport,long,extended,,,lport
8.7.0,true,auditd,auditd.log.major,keyword,extended,,,major
8.7.0,true,auditd,auditd.log.minor,keyword,extended,,,minor
8.7.0,true,auditd,auditd.log.mode,keyword,extended,,,mode
8.7.0,true,auditd,auditd.log.model,keyword,extended,,,model
8.7.0,true,auditd,auditd.log.name,keyword,extended,,,name
